rundate,this_period,last_period,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
30/03/06 13:43,2005,2004,London Area Airports,GATWICK,ABERDEEN,217287,217287,0,240021,240021,0,-9.471671104
30/03/06 13:43,2005,2004,London Area Airports,GATWICK,BELFAST CITY,207748,207748,0,210012,210012,0,-1.078033686
30/03/06 13:43,2005,2004,London Area Airports,GATWICK,BELFAST INTERNATIONAL,355023,355023,0,313521,313042,479,13.23739052
30/03/06 13:43,2005,2004,London Area Airports,GATWICK,BRISTOL,5,0,5,157,0,157,-96.81528473
30/03/06 13:43,2005,2004,London Area Airports,GATWICK,CARDIFF WALES,90,0,90,439,0,439,-79.49886322
30/03/06 13:43,2005,2004,London Area Airports,GATWICK,DURHAM TEES VALLEY,6606,6606,0,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,GATWICK,EDINBURGH,753793,753793,0,739071,738759,312,1.991960168
30/03/06 13:43,2005,2004,London Area Airports,GATWICK,GLASGOW,372263,372263,0,396536,396532,4,-6.121260166
30/03/06 13:43,2005,2004,London Area Airports,GATWICK,GUERNSEY,347934,347934,0,333694,328240,5454,4.267382622
30/03/06 13:43,2005,2004,London Area Airports,GATWICK,INVERNESS,235041,235041,0,247828,247828,0,-5.159626961
30/03/06 13:43,2005,2004,London Area Airports,GATWICK,ISLE OF MAN,114110,114110,0,129269,129269,0,-11.72670937
30/03/06 13:43,2005,2004,London Area Airports,GATWICK,JERSEY,521328,521328,0,531229,531217,12,-1.863791347
30/03/06 13:43,2005,2004,London Area Airports,GATWICK,LIVERPOOL,648,0,648,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,GATWICK,MANCHESTER,479993,478063,1930,420452,419612,840,14.16118813
30/03/06 13:43,2005,2004,London Area Airports,GATWICK,NEWCASTLE,220687,220585,102,247067,246900,167,-10.67726612
30/03/06 13:43,2005,2004,London Area Airports,GATWICK,NEWQUAY,40302,40177,125,46910,46910,0,-14.08654881
30/03/06 13:43,2005,2004,London Area Airports,GATWICK,NOTTINGHAM EAST MIDLANDS INT'L,0,0,0,78,0,78,
30/03/06 13:43,2005,2004,London Area Airports,GATWICK,PLYMOUTH,65984,65984,0,60922,60922,0,8.30898571
30/03/06 13:43,2005,2004,London Area Airports,GATWICK,WICK,0,0,0,37,0,37,
30/03/06 13:43,2005,2004,London Area Airports,HEATHROW,ABERDEEN,664018,664018,0,623555,623555,0,6.489082813
30/03/06 13:43,2005,2004,London Area Airports,HEATHROW,BELFAST CITY,730989,730989,0,770055,770055,0,-5.073143959
30/03/06 13:43,2005,2004,London Area Airports,HEATHROW,CARDIFF WALES,144,0,144,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,HEATHROW,DURHAM TEES VALLEY,152508,152508,0,144446,144446,0,5.581324577
30/03/06 13:43,2005,2004,London Area Airports,HEATHROW,EDINBURGH,1660261,1659781,480,1696300,1696300,0,-2.124565125
30/03/06 13:43,2005,2004,London Area Airports,HEATHROW,EXETER,0,0,0,75,0,75,
30/03/06 13:43,2005,2004,London Area Airports,HEATHROW,FAIRFORD,0,0,0,1360,0,1360,
30/03/06 13:43,2005,2004,London Area Airports,HEATHROW,GLASGOW,1427065,1427065,0,1535570,1535570,0,-7.066105843
30/03/06 13:43,2005,2004,London Area Airports,HEATHROW,INVERNESS,65745,65745,0,46945,46945,0,40.04686356
30/03/06 13:43,2005,2004,London Area Airports,HEATHROW,LEEDS BRADFORD,178988,178988,0,184729,184729,0,-3.107795715
30/03/06 13:43,2005,2004,London Area Airports,HEATHROW,LIVERPOOL,127,0,127,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,HEATHROW,LUTON,13,0,13,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,HEATHROW,MANCHESTER,1265160,1265126,34,1401546,1401546,0,-9.731111526
30/03/06 13:43,2005,2004,London Area Airports,HEATHROW,NEWCASTLE,527579,527574,5,520361,520361,0,1.387113929
30/03/06 13:43,2005,2004,London Area Airports,HEATHROW,NOTTINGHAM EAST MIDLANDS INT'L,63,0,63,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,HEATHROW,PRESTWICK,31,0,31,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,HEATHROW,WICK,0,0,0,2,0,2,
30/03/06 13:43,2005,2004,London Area Airports,LONDON CITY,ABERDEEN,23,0,23,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,LONDON CITY,BELFAST CITY,448,448,0,33940,33940,0,-98.68002319
30/03/06 13:43,2005,2004,London Area Airports,LONDON CITY,BLACKPOOL,20,0,20,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,LONDON CITY,BOURNEMOUTH,36,0,36,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,LONDON CITY,BRISTOL,32,0,32,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,LONDON CITY,CARDIFF WALES,23,0,23,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,LONDON CITY,COVENTRY,10,0,10,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,LONDON CITY,DUNDEE,46832,46832,0,49575,49575,0,-5.533030987
30/03/06 13:43,2005,2004,London Area Airports,LONDON CITY,DURHAM TEES VALLEY,34,12,22,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,LONDON CITY,EDINBURGH,236644,236590,54,192258,192258,0,23.08668518
30/03/06 13:43,2005,2004,London Area Airports,LONDON CITY,EXETER,49,0,49,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,LONDON CITY,GLOUCESTERSHIRE,37,0,37,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,LONDON CITY,ISLE OF MAN,60387,60387,0,16828,16828,0,258.8483582
30/03/06 13:43,2005,2004,London Area Airports,LONDON CITY,JERSEY,43081,43081,0,42030,42030,0,2.500594854
30/03/06 13:43,2005,2004,London Area Airports,LONDON CITY,LEEDS BRADFORD,6632,6575,57,4454,4454,0,48.8998642
30/03/06 13:43,2005,2004,London Area Airports,LONDON CITY,LIVERPOOL,72251,72248,3,68275,68275,0,5.823507786
30/03/06 13:43,2005,2004,London Area Airports,LONDON CITY,LUTON,69,69,0,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,LONDON CITY,MANCHESTER,115105,115105,0,133669,133669,0,-13.88803673
30/03/06 13:43,2005,2004,London Area Airports,LONDON CITY,NOTTINGHAM EAST MIDLANDS INT'L,26,0,26,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,LONDON CITY,SWANSEA,0,0,0,8407,8407,0,
30/03/06 13:43,2005,2004,London Area Airports,LUTON,ABERDEEN,156719,156719,0,155984,155978,6,0.471202165
30/03/06 13:43,2005,2004,London Area Airports,LUTON,BELFAST CITY,107,0,107,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,LUTON,BELFAST INTERNATIONAL,382095,382083,12,402339,402339,0,-5.031578064
30/03/06 13:43,2005,2004,London Area Airports,LUTON,BLACKPOOL,78,0,78,56,0,56,39.2857132
30/03/06 13:43,2005,2004,London Area Airports,LUTON,CARDIFF WALES,1571,0,1571,32,0,32,4809.375
30/03/06 13:43,2005,2004,London Area Airports,LUTON,DONCASTER SHEFFIELD,23,0,23,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,LUTON,DURHAM TEES VALLEY,101,0,101,25,0,25,304
30/03/06 13:43,2005,2004,London Area Airports,LUTON,EDINBURGH,475882,475576,306,453151,453092,59,5.016208649
30/03/06 13:43,2005,2004,London Area Airports,LUTON,GLASGOW,451679,451580,99,466527,466317,210,-3.182666779
30/03/06 13:43,2005,2004,London Area Airports,LUTON,GUERNSEY,34,34,0,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,LUTON,HUMBERSIDE,30,0,30,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,LUTON,INVERNESS,102359,102347,12,115022,115022,0,-11.00919819
30/03/06 13:43,2005,2004,London Area Airports,LUTON,ISLE OF MAN,31419,31419,0,34106,34016,90,-7.878379345
30/03/06 13:43,2005,2004,London Area Airports,LUTON,JERSEY,3283,3139,144,4626,4617,9,-29.0315609
30/03/06 13:43,2005,2004,London Area Airports,LUTON,KENT INTERNATIONAL,14,0,14,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,LUTON,LEEDS BRADFORD,83,0,83,54,0,54,53.70370483
30/03/06 13:43,2005,2004,London Area Airports,LUTON,LIVERPOOL,26,0,26,252,0,252,-89.68254089
30/03/06 13:43,2005,2004,London Area Airports,LUTON,MANCHESTER,343,77,266,292,0,292,17.46575356
30/03/06 13:43,2005,2004,London Area Airports,LUTON,NEWCASTLE,191,0,191,165,0,165,15.75757599
30/03/06 13:43,2005,2004,London Area Airports,LUTON,NOTTINGHAM EAST MIDLANDS INT'L,55,0,55,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,LUTON,PLYMOUTH,81,0,81,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,LUTON,SUMBURGH,147,0,147,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,LUTON,WICK,0,0,0,312,0,312,
30/03/06 13:43,2005,2004,London Area Airports,SOUTHEND,CARDIFF WALES,200,0,200,228,0,228,-12.28070164
30/03/06 13:43,2005,2004,London Area Airports,SOUTHEND,JERSEY,2911,2911,0,2630,0,2630,10.68441105
30/03/06 13:43,2005,2004,London Area Airports,STANSTED,BELFAST CITY,55,0,55,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,STANSTED,BELFAST INTERNATIONAL,391027,391006,21,388793,388759,34,0.574598849
30/03/06 13:43,2005,2004,London Area Airports,STANSTED,BIRMINGHAM,9,0,9,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,STANSTED,BLACKPOOL,130768,130768,0,127687,127687,0,2.412931681
30/03/06 13:43,2005,2004,London Area Airports,STANSTED,CARDIFF WALES,1100,0,1100,1044,0,1044,5.363984585
30/03/06 13:43,2005,2004,London Area Airports,STANSTED,CITY OF DERRY (EGLINTON),106390,106390,0,142735,142735,0,-25.46327019
30/03/06 13:43,2005,2004,London Area Airports,STANSTED,DONCASTER SHEFFIELD,12,0,12,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,STANSTED,DURHAM TEES VALLEY,0,0,0,260,0,260,
30/03/06 13:43,2005,2004,London Area Airports,STANSTED,EDINBURGH,520628,519913,715,499688,499628,60,4.190615177
30/03/06 13:43,2005,2004,London Area Airports,STANSTED,EXETER,0,0,0,62,0,62,
30/03/06 13:43,2005,2004,London Area Airports,STANSTED,GLASGOW,436393,436325,68,396745,396719,26,9.993320465
30/03/06 13:43,2005,2004,London Area Airports,STANSTED,GUERNSEY,33599,33599,0,59111,59111,0,-43.15948105
30/03/06 13:43,2005,2004,London Area Airports,STANSTED,INVERNESS,0,0,0,151,0,151,
30/03/06 13:43,2005,2004,London Area Airports,STANSTED,ISLE OF MAN,12948,12948,0,17197,17026,171,-24.707798
30/03/06 13:43,2005,2004,London Area Airports,STANSTED,JERSEY,1720,0,1720,4025,2718,1307,-57.26708221
30/03/06 13:43,2005,2004,London Area Airports,STANSTED,MANCHESTER,22066,21354,712,19328,18757,571,14.16597652
30/03/06 13:43,2005,2004,London Area Airports,STANSTED,NEWCASTLE,319406,318760,646,319156,319156,0,0.078331597
30/03/06 13:43,2005,2004,London Area Airports,STANSTED,NEWQUAY,183847,183828,19,167445,167445,0,9.795454979
30/03/06 13:43,2005,2004,London Area Airports,STANSTED,NOTTINGHAM EAST MIDLANDS INT'L,22,0,22,0,0,0,
30/03/06 13:43,2005,2004,London Area Airports,STANSTED,PRESTWICK,504844,504844,0,590737,590737,0,-14.53997326
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,BELFAST CITY,24154,24154,0,0,0,0,
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,BELFAST INTERNATIONAL,2506,2506,0,4446,4446,0,-43.63472748
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,BIRMINGHAM,60538,60538,0,58211,58175,36,3.997526169
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,BLACKPOOL,1707,1707,0,0,0,0,
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,BRISTOL,19535,19535,0,2317,2317,0,743.1160889
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,CARDIFF WALES,13658,13658,0,3484,3484,0,292.0206604
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,DURHAM TEES VALLEY,24301,24301,0,20467,20467,0,18.73259354
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,EDINBURGH,13,13,0,133,0,133,-90.22556305
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,FARNBOROUGH,0,0,0,67,0,67,
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,GLASGOW,1131,1131,0,4111,4106,5,-72.4884491
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,HUMBERSIDE,29917,29917,0,26708,26703,5,12.01512623
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,INVERNESS,1,1,0,0,0,0,
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,JERSEY,1622,0,1622,1590,0,1590,2.012578726
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,KIRKWALL,39119,39119,0,38770,38770,0,0.900180578
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,LEEDS BRADFORD,16637,16637,0,15898,15898,0,4.648383617
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,MANCHESTER,119370,119370,0,119172,119172,0,0.166146412
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,NEWCASTLE,21152,21152,0,19928,19928,0,6.142111778
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,NEWQUAY,9,0,9,4,0,4,125
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,NORWICH,57551,57551,0,59128,59128,0,-2.667095184
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,NOTTINGHAM EAST MIDLANDS INT'L,21163,21163,0,20937,20937,0,1.079428792
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,SCATSTA,129898,0,129898,126486,0,126486,2.6975317
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,SOUTHAMPTON,29968,29968,0,20575,20575,0,45.65249252
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,SUMBURGH,64286,63004,1282,61206,60845,361,5.032186508
30/03/06 13:43,2005,2004,Other UK Airports,ABERDEEN,WICK,10051,9863,188,6226,5992,234,61.43591309
30/03/06 13:43,2005,2004,Other UK Airports,ALDERNEY,GUERNSEY,28083,28083,0,31841,31841,0,-11.80239296
30/03/06 13:43,2005,2004,Other UK Airports,ALDERNEY,JERSEY,54,54,0,4687,4687,0,-98.8478775
30/03/06 13:43,2005,2004,Other UK Airports,ALDERNEY,SOUTHAMPTON,25870,25870,0,24709,24709,0,4.698692799
30/03/06 13:43,2005,2004,Other UK Airports,BARRA,BENBECULA,2042,2042,0,2187,2187,0,-6.630086899
30/03/06 13:43,2005,2004,Other UK Airports,BARRA,GLASGOW,7424,7424,0,6597,6597,0,12.53600121
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST CITY,BIRMINGHAM,292097,292059,38,302163,302163,0,-3.331314564
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST CITY,BLACKPOOL,4905,4905,0,0,0,0,
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST CITY,BRISTOL,62641,62641,0,76586,76586,0,-18.20828819
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST CITY,CARDIFF WALES,83,17,66,0,0,0,
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST CITY,EDINBURGH,113136,113136,0,92099,92099,0,22.8417244
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST CITY,EXETER,39545,39545,0,29576,29576,0,33.70638275
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST CITY,FARNBOROUGH,19,0,19,0,0,0,
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST CITY,GLASGOW,124583,124505,78,107501,107493,8,15.89008427
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST CITY,ISLE OF MAN,24214,24214,0,26324,26324,0,-8.015499115
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST CITY,JERSEY,7181,7181,0,5874,5874,0,22.25059509
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST CITY,LEEDS BRADFORD,96428,96428,0,105063,105063,0,-8.218877792
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST CITY,LIVERPOOL,110334,110334,0,0,0,0,
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST CITY,MANCHESTER,129209,129138,71,137121,137121,0,-5.770086288
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST CITY,NEWCASTLE,76578,76578,0,77305,77305,0,-0.94043076
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST CITY,NEWQUAY,0,0,0,5,0,5,
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST CITY,NORTHOLT,13,0,13,0,0,0,
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST CITY,NORWICH,27397,27397,0,0,0,0,
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST CITY,SOUTHAMPTON,111644,111644,0,97643,97643,0,14.33896923
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST INTERNATIONAL,BIRMINGHAM,125410,125203,207,28251,27975,276,343.9134827
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST INTERNATIONAL,BLACKPOOL,4955,4955,0,0,0,0,
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST INTERNATIONAL,BOURNEMOUTH,27192,27016,176,224,0,224,12039.28613
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST INTERNATIONAL,BRISTOL,233607,233607,0,231755,231586,169,0.799119771
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST INTERNATIONAL,CARDIFF WALES,42844,42844,0,53527,53432,95,-19.95815277
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST INTERNATIONAL,DURHAM TEES VALLEY,6598,6598,0,32000,32000,0,-79.38124847
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST INTERNATIONAL,EDINBURGH,326040,325847,193,315011,315011,0,3.501147509
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST INTERNATIONAL,GLASGOW,333294,333250,44,313777,313745,32,6.220022678
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST INTERNATIONAL,INVERNESS,29228,29202,26,0,0,0,
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST INTERNATIONAL,JERSEY,1435,0,1435,1451,0,1451,-1.102687836
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST INTERNATIONAL,KENT INTERNATIONAL,4563,4563,0,0,0,0,
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST INTERNATIONAL,LEEDS BRADFORD,96055,96055,0,94412,94304,108,1.740244865
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST INTERNATIONAL,LIVERPOOL,524805,524805,0,551655,551655,0,-4.867172241
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST INTERNATIONAL,MANCHESTER,173329,173329,0,152233,152233,0,13.85770512
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST INTERNATIONAL,NEWCASTLE,199277,199251,26,151333,151333,0,31.68112755
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST INTERNATIONAL,NEWQUAY,11,0,11,0,0,0,
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST INTERNATIONAL,NORTHOLT,9,0,9,0,0,0,
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST INTERNATIONAL,NOTTINGHAM EAST MIDLANDS INT'L,165297,165205,92,172264,172264,0,-4.044373989
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST INTERNATIONAL,PRESTWICK,20,0,20,0,0,0,
30/03/06 13:43,2005,2004,Other UK Airports,BELFAST INTERNATIONAL,SOUTHAMPTON,0,0,0,119,0,119,
30/03/06 13:43,2005,2004,Other UK Airports,BEMBRIDGE,SOUTHAMPTON,0,0,0,7,0,7,
30/03/06 13:43,2005,2004,Other UK Airports,BENBECULA,GLASGOW,20986,20986,0,18787,18787,0,11.70490265
30/03/06 13:43,2005,2004,Other UK Airports,BENBECULA,STORNOWAY,9011,9011,0,8846,8846,0,1.865249872
30/03/06 13:43,2005,2004,Other UK Airports,BIGGIN HILL,CARDIFF WALES,0,0,0,28,0,28,
30/03/06 13:43,2005,2004,Other UK Airports,BIGGIN HILL,EDINBURGH,17,17,0,0,0,0,
30/03/06 13:43,2005,2004,Other UK Airports,BIGGIN HILL,JERSEY,24,24,0,0,0,0,
30/03/06 13:43,2005,2004,Other UK Airports,BIGGIN HILL,LYDD,29,0,29,0,0,0,
30/03/06 13:43,2005,2004,Other UK Airports,BIRMINGHAM,BRISTOL,106,0,106,0,0,0,
30/03/06 13:43,2005,2004,Other UK Airports,BIRMINGHAM,CITY OF DERRY (EGLINTON),9172,9172,0,9925,9925,0,-7.586901665
30/03/06 13:43,2005,2004,Other UK Airports,BIRMINGHAM,EDINBURGH,471139,470333,806,384295,384082,213,22.59826469
30/03/06 13:43,2005,2004,Other UK Airports,BIRMINGHAM,GLASGOW,324281,323492,789,345123,344736,387,-6.039006233
30/03/06 13:43,2005,2004,Other UK Airports,BIRMINGHAM,GUERNSEY,50831,50705,126,52576,52576,0,-3.319004774
30/03/06 13:43,2005,2004,Other UK Airports,BIRMINGHAM,INVERNESS,15309,15309,0,12652,12652,0,21.00063324
30/03/06 13:43,2005,2004,Other UK Airports,BIRMINGHAM,ISLE OF MAN,63923,63923,0,60895,60895,0,4.972493649
30/03/06 13:43,2005,2004,Other UK Airports,BIRMINGHAM,JERSEY,58320,56766,1554,60329,56891,3438,-3.330073357
30/03/06 13:43,2005,2004,Other UK Airports,BIRMINGHAM,KINLOSS,101,0,101,220,0,220,-54.09090805
30/03/06 13:43,2005,2004,Other UK Airports,BIRMINGHAM,NEWCASTLE,25333,24893,440,24348,24348,0,4.045506954
30/03/06 13:43,2005,2004,Other UK Airports,BIRMINGHAM,NEWQUAY,21770,21770,0,0,0,0,
30/03/06 13:43,2005,2004,Other UK Airports,BLACKPOOL,BOURNEMOUTH,0,0,0,296,0,296,
30/03/06 13:43,2005,2004,Other UK Airports,BLACKPOOL,CARDIFF WALES,592,0,592,716,0,716,-17.31843567
30/03/06 13:43,2005,2004,Other UK Airports,BLACKPOOL,CITY OF DERRY (EGLINTON),46,0,46,0,0,0,
30/03/06 13:43,2005,2004,Other UK Airports,BLACKPOOL,GLASGOW,0,0,0,3,0,3,
